#,NAME,EDITION,REGION,PRICE (SGD),PRICE (MYR)
60,Pro Evolution Soccer 2011,Standard,NTSC (SG),$19.90 ,RM53.73
61,Professor Layton and the Azran Legacy,Standard,NTSC (US),$52.00 ,RM140.40
62,Resident Evil: The Mercenaries 3D,Standard,NTSC (US),$29.00 ,RM78.30
63,Samurai Warriors Chronicles,Standard,NTSC (US),$29.00 ,RM78.30
64,Shin Megami Tensei: Devil Summoner Soul Hackers,Standard,NTSC (US),$34.90 ,RM94.23
65,Shin Megami Tensei: Devil Survivor Overclocked,Standard,NTSC (US),$39.00 ,RM105.30
66,Shin Megami Tensei IV,Standard,NTSC (US),$39.00 ,RM105.30
67,Sonic and All-Stars Racing Transformed,Standard,NTSC (US),$29.00 ,RM78.30
68,Sonic Boom: Shattered Crystal,Standard,NTSC (US),$49.90 ,RM134.73
69,Sonic Generations,Standard,NTSC (US),$29.00 ,RM78.30
70,Sonic Lost World,Standard,NTSC (US),$29.00 ,RM78.30
71,Steel Diver,Standard,NTSC (US),$19.90 ,RM53.73
72,Super Smash Brothers,Standard,NTSC (US),$53.00 ,RM143.10
73,Tales of the Abyss,Standard,NTSC (US),$49.90 ,RM134.73
74,Teenage Mutant Ninja Turtles,Standard,NTSC (US),$29.00 ,RM78.30
75,The Amazing Spider-Man 2,Standard,NTSC (US),$29.00 ,RM78.30
76,Theatrhythm: Final Fantasy,Standard,NTSC (US),$39.00 ,RM105.30
77,Theatrhythm Final Fantasy: Curtain Call,Standard,NTSC (US),$52.00 ,RM125.01
78,The Croods: Prehistoric Party!,Standard,NTSC (US),$29.90 ,RM80.73
79,The Legend of Zelda: A Link Between Worlds,Standard,NTSC (SG),$49.90 ,RM134.73
80,Tomodachi Life,Standard,NTSC (US),$44.90 ,RM121.23
81,Ultimate NES Remix,Standard,NTSC (US),$42.00 ,RM110.00
82,Wreck-It Ralph,Standard,NTSC (US),$29.00 ,RM78.30
83,Yoshi's New Island,Standard,NTSC (SG),$42.00 ,RM113.40
84,Young Justice: Legacy,Standard,NTSC (US),$44.00 ,RM118.80
